star_rating,total_contribution
2.7000000000000015,226.88926297635032
2.7100000000000017,228.4168015254429
2.7200000000000015,229.94834060633954
2.7300000000000013,231.48392480833442
2.7400000000000015,233.02359926182038
2.7500000000000018,234.56740964823285
2.7600000000000016,236.1154022102131
2.7700000000000014,237.6676237619954
2.7800000000000016,239.22412170002474
2.790000000000002,240.7849440138109
2.8000000000000016,242.35013929702612
2.8100000000000014,243.9197567588528
2.8200000000000016,245.49384623558745
2.830000000000002,247.0724582025085
2.8400000000000016,248.65564378601576
2.8500000000000014,250.24345477604865
2.8600000000000017,251.83594363879052
2.870000000000002,253.43316352966815
2.8800000000000017,255.0351683066539
2.8900000000000015,256.6420125438803
2.9000000000000017,258.2537515455744
2.910000000000002,259.8704413603221
2.9200000000000017,261.49213879567225
2.9300000000000015,263.1189014330894
